campaign_id,campaign_name,campaign_status,analytics_bounce_count,analytics_blocked_count,leads_pulled_count
2631301,Job change Nov 2025 - ROW,COMPLETED,3,1,3
2626086,500 to 5k below $500 data Batch 7,COMPLETED,2,2,3
2573582,500 below and below $500 data - Batch 6,COMPLETED,1,3,3
2502880,Campaign data CAM - GCC  - HR - 2nd cycle,COMPLETED,2,2,3
2414306,SEA CAM List - Set 2 - FMCG,COMPLETED,3,1,3
2401662,SEA CAM List - Automotive,PAUSED,3,1,3
2365135,Indonesia data - Sales and marketing,COMPLETED,3,1,3
2365126,Indonesia data - CXO,COMPLETED,3,1,3
2364055,Competition Campaign: Loyalty Jaggernaut,COMPLETED,3,1,1
2354754,2023 Repository - GCC - Sales generic,COMPLETED,3,1,3
2331257,O.C. Tanner_product_signals,COMPLETED,4,0,4
2303996,Client List- Workplace by META - MEA,COMPLETED,3,1,3
2224392,SAP Sapphire in 2025,COMPLETED,2,2,3
2218964,Indonesia HR New Data,COMPLETED,3,1,3
2156309,WCWT25,COMPLETED,2,2,2
1960696,Panel members 10DX event - Imelda,COMPLETED,2,2,2
1862737,Saudi Arabia - Ahmad - Plum,COMPLETED,2,2,3
1826343,Mercedes-Benz - Preetham,COMPLETED,2,2,2
1620607,Website Visitors Compass - Common Room (2nd Cycle),COMPLETED,2,2,2
1562149,Hibob- Set 3- UK/Europe,COMPLETED,2,2,2
1535863,HiBob-UK/Europe- Set 2,COMPLETED,2,2,2
1502455,Job Change-Non Live Clients - ROW,COMPLETED,2,2,2
1494848,Website Visitors Compass- Common Room,COMPLETED,2,2,2
3209218,P1_ABM_TELCO/ISPs_Africa_Mary_Roshaan_21Apr26,PAUSED,2,1,2
3175582,NetCore_Partnerships_Manufacturing,ACTIVE,3,0,3
3168064,World at Work - Total Rewards- Pre Event Outreach,ACTIVE,2,1,2
3151226,Tier - 2 Kimberly Empuls Dream 2026 (Influencer),ACTIVE,2,1,2
2998129,Already using a Solution- HR profiles - INDIA - BATCH 2,COMPLETED,2,1,2
2934245,SAP direct Customers - BATCH 3,COMPLETED,2,1,2
2934230,SAP direct Customers - BATCH 2,COMPLETED,2,1,2
2902983,Indonesia Ramadan Batch 3,COMPLETED,2,1,2
2893791,KSA HR and Procurement Batch 2,PAUSED,2,1,2
2626131,5k+ below $500 data Batch 10,COMPLETED,1,2,2
2626128,5k+ below $500 data Batch 9,COMPLETED,2,1,3
2626099,500 to 5k below $500 data Batch 10,COMPLETED,2,1,2
2573621,500 to 5k below $500 data Batch 5,COMPLETED,2,1,2
2573618,500 to 5k below $500 data Batch 4,COMPLETED,1,2,2
2573593,500 to 5k below $500 data Batch 1,COMPLETED,2,1,2
2573567,500 below and below $500 data - Batch 4,COMPLETED,1,2,2
2559979,Christmas Reachout For Phillipines Region - Set 2,COMPLETED,2,1,2
2559971,Christmas Reachout For Phillipines Region - Set 1,COMPLETED,2,1,2
2539753,Kunjal - Sales and marketing,COMPLETED,2,1,2
